Sentence,Sentiment
"` Sanoma is a buyer not a target , ' he said .",neutral
"Also , it is bringing in `` the right kind of people '' to upgrade its human resources .",positive
After the renovation the biggest moulding line in the Orhangazi foundry is the most modern line in Europe .,positive
"In addition , the production at the Varpaisj+_ rvi factory will be stopped at the beginning of April 2009 .",negative
"$YNDX and the price of some stocks was 2 times lower then annual earnings, I could not resist, I  was buying when everyone was selling",positive
Barclays appoints JPMorgan's Paul Compton as new COO,neutral
"The Finnish national carrier said net loss in April through June was euro26 million , down from a net profit of euro13 million a year earlier .",negative
"`` We have significant experience in smartphone functionality , in the development of mobile Internet services , and in uniting the two into a smooth user experience .",positive
"In 2008 , Kemira recorded revenue of approximately EUR 2.8 billion and had a staff of 9,400 .",neutral
"$RXII Tang really is toxic, they keep bringing the share price down. At least they could let it climb a little before dragging it down.",negative
"`` As a part of the Eseries business promise , the Nokia E50 has been equipped with a variety of email solutions in a small and stylised package , '' said Dave Grannan , general manager , Enterprise Solutions , Nokia .",neutral
"The personnel reduction will be carried out in Anjalankoski , Hollola , Jyvaskyla , Jarvenpaa , Karhula , Turku and Valkeakoski units .",negative
"Comparable operating profit totaled EUR 4.7 mn , down from EUR 5.1 mn in the corresponding period in 2005 , representing 7.4 % of net sales .",neutral
"Finnish plumbing and heating systems supplier Uponor 's net sales in continuing business operations decreased to EUR 249.1 mn in July-September 2008 , compared to EUR 262.1 mn in the third quarter of 2007 .",negative
"Lee & Man Paper and Metso have a long and prosperous co-operation , a good example of which are the Changshu and Hongmei kraftliner machines delivered earlier .",positive
Return on capital employed ROCE was a negative 2.3 % compared to 11.3 % in 2007 .,negative
"`` We cut our frequency to New York last year , which explains the fall , '' he said .",neutral
These moderate but significant changes resulted in a significant 24-32 % reduction in the estimated CVD risk .,positive
"Finnish management software solutions provider Ixonos Oyj net profit decreased to 369,000 euro ( $ 575,000 ) for the first quarter of 2008 from 669,000 euro ( $ 1.0 mln ) for the same period of 2007 .",negative
Rapala VMC Corporation ( Rapala ) is a Finland-based company engaged in the manufacture and distribution of fishing equipment and accessories .,neutral
"Operating profit totaled EUR 5.5 mn , up from EUR -0.7 mn .",positive
"- Demand for fireplace products was lower than expected , especially in Germany .",neutral
He said he has been losing five families a month to the economy as many make alternative arrangements to save money .,neutral
"As a result of the cancellation , the maximum increase of Citycon 's share capital on the basis of the convertible bonds decreased from EUR 23,383,927.80 to EUR 22,901,784.75 .",neutral
The union filed a grievance over the company 's overtime assignment policies .,negative
"Profit before taxes amounted to EUR 56.5 mn , down from EUR 232.9 mn a year ago .",negative
Aviation Systems Maintenance is based in Kansas and generated net sales of USD 2.6 million for 2008 .,neutral
$MA http://stks.co/1CYN continues to consolidate / base here,positive
"$WFM Bought a little yesterday, hoping for an earnings pop.",positive
Exel wants to serve its industrial customers with individual products .,neutral
"EBIT excluding non-recurring items , totalled EUR 67.8 mn , up from EUR 38.1 mn .",positive
As an overall effect of the above-mentioned measures Glaston will recognize non-recurring expenses of EUR 12 million in the fourth quarter of 2008 .,neutral
Finnish Bank of +àland +àlandsbanken has issued a profit warning .,neutral
The ` buy ' recommendation was reiterated .,positive
The solution will be installed in the USA to support the North American operations of the customer .,neutral
"The negotiations were carried out in a constructive manner , and all parties tried to find a solution to the situation .",positive
Teleste expects to start the deliveries at the end of 2009 .,neutral
"It provides customers with industry-leading elevators , escalators and innovative solutions for maintenance and modernization .",positive
"The one dark spot on the horizon , however , was the company 's performance in the Finnish bottled water market .",negative
"So far Norwegian Norske Skog has reduced the staff levels by 1,000 people and plans to reduce production by 200,000 tons in 2008 , while Finnish-Swedish Stora Enso is to cut staff by 1,700 people and production by 500,000 tons .",negative
"In January-August 2009 , imports by sea in container , lorry , and trailer units fell by 27.7 % and exports by 28.6 % from the corresponding period in 2008 .",negative
"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .",positive
"Earnings per share ( EPS ) in the first half of 2007 amounted to EUR0 .29 , down from EUR0 .40 year ago .",negative
G4S slides on balance sheet worries,negative
"This implementation is very important to the operator , since it is about to launch its Fixed-to-Mobile convergence service in Brazil see Brazil : 8 May 2006 : .",neutral
"The Australian company Mirabela Nickel has awarded Outokumpu Technology a contract for grinding technology for its nickel sulfide project in Bahia State , Brazil .",positive
"Seppala 's revenue increased by 0.2 % to EUR10 .1 m. In Finland , revenue went down by 2.4 % to EUR6 .8 m , while sales abroad rose by 6.2 % to EUR3 .3 m. Sales increased in all the Baltic countries as well as in Russia and Ukraine .",positive
The server is responsible for managing devices and user accounts and a desktop client application enables remote access to the mobile phones .,neutral
The company reiterates its outlook for 2009 .,neutral
"BHP Billiton slashes dividend, posts $5.67 billion net loss",negative
The value of the deal was not disclosed .,neutral
$MSFT SQL Server revenue grew double-digit with SQL Server Premium revenue growing over 30% http://stks.co/ir2F,positive
"In its financial report , published on Friday , SEB said its net profit soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and proposed a 50 % dividend increase to SEK1 .50 per share .",positive
"In the end of 2006 , the number of outlets will rise to 60-70 .",positive
"These sections will be put into place to form the load-bearing steel structure of the bridge , '' says Sami Eronen , Senior Vice President , Infrastructure and Northern Europe , Ruukki Construction .",neutral
Shire says internal synergy goals from Baxalta deal higher,positive
Marathon estimates the value of its remaining stake in Protalix at $ 27 million .,neutral
Finnish automation solutions developer Cencorp Corporation ( OMX Helsinki : CNC1V ) said on Friday ( 27 June ) that it has completed employee negotiations regarding a reorganisation of its operations .,positive
Finnish Aktia Group 's operating profit rose to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009 .,positive
`` The additional flight linking Mumbai with Helsinki was dictated by the strong traffic demand between Asia and Europe .,positive
"The composite body is coated with a hard coating layer produced by thermal spraying , and the coating is ground . ''",neutral
"Cargotec 's share capital after the increase totals 64,046,460 euros .",neutral
The company will enhance the GPRS capability in the existing 12 IDEA telecom service areas and add 10 more service areas to its network .,positive
`` I warmly welcome Michael Frei to Outotec .,positive
The divestment of Raisio 's margarine business in May 2009 gave the company a clearer focus on grain-based products .,positive
$RSH - looking for first profitable quarter in 3 years!!!  ;).  LONG & STRONG,positive
"The most popular mobile data services are email , surfing the internet , as well as news and weather services .",neutral
"Operating profit totalled EUR 1.22 mn , down from EUR 3.56 mn in the first quarter of 2008 .",neutral
"The fair value of the investment properties totaled EUR 2,534.9 mn , up from EUR 2,455.1 mn in 2006 .",positive
"Initial estimated total value of the contract was 250 000 Euros , excluding VAT .",neutral
"The staff reduction will start immediately , Glaston added .",negative
Consolidated pretax profit decreased by 69.2 % to EUR 41.0 mn from EUR 133.1 mn in 2007 .,negative
"Master of Mayawas jointly developed by Nokia Siemens Networks and UFA - FremantleMedia , and will be actively advertised by Maxis in the end of May 2007 .",neutral
Swedbank 's shares have been hardest hit of the Swedish banks by the ongoing international financial crisis .,negative
The first quarter was as expected and was in line with analysts ' forecasts .,neutral
"The Ministry of Water in Tanzania has awarded Poyry a water and sanitation engineering assignment for the rehabilitation and extension of water supply and sanitation infrastructure in Bukoba and Musoma , situated at Lake Victoria in northern Tanzania .",positive
"First Industrial will seek LEED designation for Uponor 's new building and a 282,000 square-foot speculative distribution center at First Park Lakeville .",neutral
The real estate company posted a net loss of +ó  x201a -¼ 59.3 million +ó  x201a -¼ 0.21 per share compared with a net profit of +ó  x201a -¼ 31 million +ó  x201a -¼ 0.11 per share for the corresponding quarter of 2007 .,negative
"Temporary lay-offs , affecting the entire workforce , will also be implemented .",neutral
what is up with $HK..... from Jan to now it's been a sinking ship...,negative
Operating profit improved by 27 % to EUR 579.8 mn from EUR 457.2 mn in 2006 .,positive
"Sales climbed 19.2 pct to 1.002 bln eur , surpassing the 953 mln eur consensus figure .",positive
SABMiller revenue hit by weaker EM currencies,negative
$V A potential bearish shark pattern if point B $226 to be taken out. http://stks.co/i0GGH,negative
$RSH - looking for first profitable quarter in 3 years!!!  ;).  LONG & STRONG,positive
The aim is to increase sales by at least one fifth in 2006 .,positive
Industry Investment is very interested in Glaston 's solar energy projects .,positive
"Goldman Sachs, Barclays, HSBC downplay Brexit threat",neutral
The rationalization of the operations seeks to achieve over EUR 1 million in yearly savings as from the second quarter of the current financial year .,positive
"Finnish electronics contract manufacturer Scanfil had net sales of EUR 52.2 mn in the first quarter of 2007 , down from EUR 60.1 mn a year before .",neutral
Operating profit excluding non-recurring items was EUR 7.8 million compared to EUR 11.2 million .,negative
Okmetic expects its net sales for the first half of 2009 to be less than in 2008 .,negative
"In 2007 , Etteplan had turnover of EUR125 .2 m.",neutral
Consolidated pretax profit decreased by 69.2 % to EUR 41.0 mn from EUR 133.1 mn in 2007 .,negative
